,ID,time,t,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.communication,appCat.professional,appCat.recreation,appCat.convenience,mood_3dayavg,circumplex.arousal_3dayavg,circumplex.valence_3dayavg,activity_3dayavg,screen_3dayavg,call_3dayavg,sms_3dayavg,appCat.communication_3dayavg,appCat.professional_3dayavg,appCat.recreation_3dayavg,appCat.convenience_3dayavg,weekend
0,AS14.01,2014-03-21,1.0,0.10000000000000009,0.7073170731707318,0.2,0.5982389359492806,0.7954470971143368,0.6000000000000001,0.0,0.39893579433993176,0.16435641216066987,0.5876313380348527,0.20314923302919818,,,,,,,,,,,,0
1,AS14.01,2014-03-22,2.0,0.20000000000000018,0.902439024390244,0.5,0.7522138442636472,0.2059890560799015,0.30000000000000004,0.25,0.3018207830392031,0.015621085649146688,0.02797303172508972,0.06502230779885332,,,,,,,,,,,,1
2,AS14.01,2014-03-23,3.0,0.3999999999999999,0.7073170731707318,0.8,0.39305649276891236,0.23744563640596353,0.0,0.0,0.3220400716249477,0.03216938605190329,0.07988760111446466,0.040324736003246195,,,,,,,,,,,,1
3,AS14.01,2014-03-24,4.0,0.0,1.0000000000000002,0.0,0.33946465135696524,0.6494585579853258,1.0,0.0,0.6192352671445348,0.027509594560340123,0.43989872913874506,0.03421374519363013,0.10638297872340363,0.875,0.35714285714285715,0.9999999999999999,0.31129130141756195,0.48,0.19999999999999998,0.46203911236952244,0.10244519272204591,0.2916995546352794,0.27906356675316485,0
4,AS14.01,2014-03-25,5.0,0.375,0.853658536585366,0.5,0.4409440795623503,0.9695666894395962,0.0,0.25,0.6933715533478164,0.031910714629833054,0.19135787840645524,0.3731557293099312,0.06382978723404342,1.0,0.2714285714285715,0.780204108205775,0.2417653658135826,0.6933333333333332,0.19999999999999998,0.5811736356750662,0.036362211217578426,0.1971691301470973,0.11646362758978095,0
5,AS14.01,2014-03-26,6.0,0.2999999999999998,0.5121951219512196,0.6,0.45628230738742853,0.7180043830316017,0.0,0.0,0.5984651817971951,0.038786630912198486,0.58612431512615,0.06439316349363346,0.13829787234042534,0.9791666666666666,0.2714285714285715,0.5158199727075922,0.6054134280679113,0.5333333333333333,0.19999999999999998,0.7929181931030785,0.04422843178099137,0.3017150325523513,0.4130411923976761,0
6,AS14.01,2014-03-27,7.0,0.5,0.7073170731707318,0.8,0.6910427334791636,0.7687171385496251,0.2,0.25,0.44724542302628173,0.1665206544312861,0.14497722113196987,0.026385044118134766,0.09574468085106425,0.8958333333333333,0.18571428571428578,0.5695222728816097,0.8342758899512883,0.5333333333333333,0.19999999999999998,0.9424045868325013,0.047423882558594005,0.6256433231620484,0.4362069871980231,0
7,AS14.01,2014-03-28,8.0,0.20000000000000018,0.3170731707317074,0.6,0.42695513543970903,0.14530041667588134,0.5,0.0,0.0,0.06608795421293479,0.1647960661513198,0.18968847115007578,0.3085106382978733,0.7708333333333333,0.5285714285714285,0.8681432050854986,0.8910718853219124,0.10666666666666666,0.39999999999999997,0.8493951582053312,0.11455197117222363,0.4369303805632949,0.42867188409498014,0
8,AS14.01,2014-03-29,9.0,1.0,0.7073170731707318,1.0,0.28322720793199146,0.3145738199731978,0.4,0.25,0.13660194430151568,0.0,0.20400887411641538,0.13471686555430049,0.2340425531914896,0.5416666666666666,0.5714285714285714,0.8562613735753101,0.49852131838967667,0.37333333333333335,0.19999999999999998,0.47443062274780223,0.13105607357554053,0.41993413710414684,0.25208515624119837,1
9,AS14.01,2014-03-30,10.0,0.75,0.36585365853658547,0.75,0.07640463051570334,0.1253671244875118,0.0,0.0,0.031807831394148056,0.0,0.15942545790505847,0.10631855965946224,0.5319148936170208,0.625,0.7428571428571431,0.7092730436712361,0.30639056952939275,0.5866666666666667,0.39999999999999997,0.22466217831667587,0.1123261077777444,0.17542796401177657,0.31977152470830333,1
